@relation sms_test

@attribute class {3,2,1}
@attribute text String

@data
1,'Џбм «н дў«г »ёѕ— «ЁЏб «б ћж«б «бѕжбн'
1,'янЁ »ёѕ— «ЁЏб ќѕг…  ж√г ћж«бн'
1,'‘ж Ён ќѕг«   —Ёнен… ж г”бн… Џдѕяг'
1,'‘ж ен ќѕг… «—ћЏбн ‘ж Ё«нѕ е«'
1,'‘ж ен ќѕг… «б—”«∆б «б’ж н…'
1,'янЁ «“»Ў «б«Џѕ«ѕ«  Џбм ће«“н ж «ќ– яб «бќѕг« '
1,'‘ж нЏдн ќѕг… «б—”«∆б г Џѕѕ… «бж”«∆Ў'
1,'бж ж«Ќѕ —д Џбн ж г« яд  гжћжѕ янЁ »ёѕ— «ЁЏб дў«г «бгя«бг«  «бЁ«∆ …'
1,'‘ж ен ќѕг… —дбн'
1,'янЁ —«Ќ «—д Џбм Ќѕ бг« «яжд г‘џб «б ћж«б'
1,'‘ж б«“г «”жн Џ‘«д «ЁЏб ќѕг… «б ћж«б'
1,'янЁ нгяд «»Џ  —”«∆б «Ћд«Ѕ «б ћж«б'
1,'янЁ »ёѕ— «гн“ »нд «б ћж«б ж «б« ’«б «бѕжбн'
1,'янЁ »ёѕ— «”гЏ «бгя«бг«  «б’ж н… «Ћд«Ѕ «б ћж«б'
1,'янЁ ггяд «бд«” н ’бж Џбн бг« «яжд гЁЏб «б ћж«б'
1,'еб —«Ќ н‘ џб ћж«бн »—« «б»бѕ бг« «ЁЏб «б ћж«б'
1,'еб » ‘ џб ќѕг… «б ћж«б Џбм «бя—  ж «бЁ« ж—…'
1,'янЁ »ёѕ— «ЁЏб ќѕг…  ж√г ћж«бн'
1,'‘ж Ён ќѕг«   —Ёнен… ж г”бн… Џдѕяг'
1,'‘ж ен ќѕг… «—ћЏбн ‘ж Ё«нѕ е«'
1,'‘ж ен ќѕг… «б—”«∆б «б’ж н…'
1,'янЁ «“»Ў «б«Џѕ«ѕ«  Џбм ће«“н ж «ќ– яб «бќѕг« '
1,'‘ж нЏдн ќѕг… «б—”«∆б г Џѕѕ… «бж”«∆Ў'
1,'бж ж«Ќѕ —д Џбн ж г« яд  гжћжѕ янЁ »ёѕ— «ЁЏб дў«г «бгя«бг«  «бЁ«∆ …'
1,'‘ж ен ќѕг… —дбн'
1,'янЁ —«Ќ «—д Џбм Ќѕ бг« «яжд г‘џб «б ћж«б'
1,'‘ж б«“г «”жн Џ‘«д «ЁЏб ќѕг… «б ћж«б'
1,'янЁ нгяд «»Џ  —”«∆б «Ћд«Ѕ «б ћж«б'
1,'янЁ »ёѕ— «гн“ »нд «б ћж«б ж «б« ’«б «бѕжбн'
1,'янЁ »ёѕ— «”гЏ «бгя«бг«  «б’ж н… «Ћд«Ѕ «б ћж«б'
1,'янЁ ггяд «бд«” н ’бж Џбн бг« «яжд гЁЏб «б ћж«б'
1,'еб —«Ќ н‘ џб ћж«бн »—« «б»бѕ бг« «ЁЏб «б ћж«б'
1,'еб » ‘ џб ќѕг… «б ћж«б Џбм «бя—  ж «бЁ« ж—…'
1,'«н‘ ен ќѕг…  ж√г ћж«бн'
1,'‘ж ен ќѕг… «б«ќ»«— «бЏ«ћб… ж янЁ ггяд «” Ёнѕ где«'
1,'‘ж ен «бќѕг«  «б —Ёнен… «бн Џдѕяж'
1,'‘ж ен ќѕг… «—ћЏбн'
1,'«н‘ ен ќѕг… «б—”«∆б «б’ж н…'
1,'янЁ »ёѕ— «“»Ў «Џѕ«ѕ«  «бќѕг«   »Џ н'
1,'‘ж ен ќѕг«  г Џѕѕ… «бж”«∆Ў'
1,'янЁ »ёѕ— «ЁЏб ќѕг… «бгя«бг«  «бЁ«∆ …'
1,'‘ж ен ќѕг… —дбн ж янЁ »ёѕ— «‘ —я Ёне«'
1,'янЁ »∆ѕ— «Ќян гя«бг«  «Ћд«Ѕ «б ћж«б'
1,'янЁ »∆ѕ— «ЁЏб «б ћж«б ж «д« »Ёб”Ўнд'
1,'янЁ »∆ѕ— «—”б —”«б… «Ћд«Ѕ «б ћж«б'
1,'‘ж «бЁ—ё »нд гя«бг… «б ћж«б ж «бгя«бг… «бѕжбн…'
1,'янЁ ггяд «ЁЏб «б»—нѕ «б’ж н «Ћд«Ѕ «б ћж«б'
1,'янЁ »ёѕ— «” ё»б гя«бг«  ж « ’б Џбм «бд«” «Ћд«Ѕ «б ћж«б'
1,'ќѕг… «б ћж«б ‘џ«б… Џбм «бЁ« ж—… ж «бя— '
1,'‘ж ен ќѕг…  ж√г ћж«бн'
1,'янЁ »∆ѕ— «‘ —я »ќѕг… «б«ќ»«—'
1,'‘ж Ён ќѕг«  г”бн… ж  —Ёнен… Џдѕяг'
1,'‘ж ен ќѕг… «—ћЏбн нЏдн ‘ж Ё«нѕ е«'
1,'‘ж ен ќѕг… «б—”«∆б «б’ж н…'
1,'янЁ «“»Ў «б«Џѕ«ѕ«  Џбм ће«“н ж «ѕќб яб «бќѕг« '
1,'‘ж ен ќѕг… «б—”«∆б «бг Џѕѕ… «бж”«∆Ў'
1,'ж«Ќѕ —д Џбн ж гяд ‘ гжћжѕ янЁ »∆ѕ— «‘џб дў«г «бгя«бг«  «бЁ«∆ …'
1,'‘ж ен ќѕг… —дбн'
1,'янЁ ггяд «—д ЏЌѕ« ж «д« г‘џб «б ћж«б'
1,'янЁ ггяд «‘ џб «б ћж«б Џбм ће«“н бг« «”«Ё—'
1,'еб »∆ѕ— «»Џ  —”«∆б ж «д« г‘џб «б ћж«б'
1,'‘ж » ќ бЁ «бгя«бг«  «бѕжбн… Џд гя«бг«  «б ћж«б'
1,'«–« Ќѕ »Џ бн гя«бг… ’ж н… еб »ёѕ— «”гЏе« «Ћд«Ѕ «б ћж«б'
1,'янЁ ггяд « ’б Џбм «бд«” ж н ’бж Џбн бг« √яжд »—« «б»бѕ ж гЁЏб «б ћж«б'
1,'—«Ќ н‘ џб ћж«бн »—« «б»бѕ бг« «ЁЏб «б ћж«б'
1,'Џбм √дж дў«г »‘ џб «б ћж«б Џбм «бя—  жб« Џбм «бЁ« ж—…'
1,'‘ж ен ќѕг…  ж√г ћж«бн'
1,'‘ж Ён Џдѕяг ќѕг«  г”бн… «ж  —Ёнен…'
1,'‘ж ен ќѕг… «—ћЏбн ж янЁ ггяд «” Ёнѕ где«'
1,'‘ж ен ќѕг… «—ћЏбн ж янЁ ггяд «” Ёнѕ где«'
1,'‘ж ен ќѕг… «б—”«∆б «б’ж н…'
1,'«Ќянбн янЁ ггяд «ћн» «Џѕ«ѕ«  «бќѕг« '
1,'»ѕн «Џ—Ё Џд ќѕг… «б—”«∆б «бќѕг«  «бг Џѕѕ…'
1,'«‘—Ќбн Џд ќѕг… «бгя«бг«  «бЁ«∆ …'
1,'‘ж ен ќѕг… —дбн'
1,'‘ж ен ќЎж«  «б« ’«б «Ћд«Ѕ «б ћж«б'
1,'‘ж б«“г «Џгб Џ‘«д «ЁЏб ќѕг… «б ћж«б'
1,'»∆ѕ— «»Џ  —”«∆б «Ћд«Ѕ  ЁЏнбн бќѕг… «б ћж«б'
1,'‘ж «бЁ—ё »нд «бгя«бг… «бѕжбн… ж гя«бг…  ћж«б'
1,'Ён »—нѕ ’ж н »яжд гЁЏб бг« √яжд гЁЏб ќѕг… «б ћж«б'
1,'янЁ ггяд «ћ—н гя«бг«  «Ћд«Ѕ «б ћж«б ж янЁ ггяд Ќѕ н ’б Џбн'
1,'еб —«Ќ н‘ џб ћж«бн »—« «б»бѕ бг« «ЁЏб ќѕг… «б ћж«б'
1,'Џбм √н дў«г »ёѕ— «ЁЏб ќѕг… «б ћж«б «бѕжбн'
1,'» ёѕ—  ”«Џѕдн « Џ—Ё Џбм ќѕг…  ж√г ћж«бн'
1,'”гЏ  Џд ќѕг… «б«ќ»«— «бЏ«ћб… Џдѕяг ггяд  ”«Џѕдн « Џ—Ё ‘жн Џбне«'
1,'»ѕн «” ќѕг ќѕг… «—ћЏбн Џдѕяг Џ‘«д « ’б »’«Ќ»н ггяд  ”«Џѕдн'
1,'Ён «гя«дн… «—”б —”«∆б ’ж н… »«” ќѕ«г ћж«б'
1,'”гЏ  Џд «Џѕ«ѕ«  «бќѕг«  янЁ ггяд «ж’бег'
1,'»ѕн «ЁЏб ќѕг… «бгя«бг«  «бЁ«∆ …'
1,'ггяд  ”«Џѕдн « Џ—Ё Џбм ќѕг… —дбн б«дн Ќ«»» «‘ —я Ёне«'
1,'«д« ћ«н гд «б”Џжѕн… ж Ќ«»» «” Ё”— янЁ ггяд «ЁЏб ќѕг… «б ћж«б Џдѕяг'
1,'янЁ ггяд «—”б —”«б… ж «д« » ћжб ж яг » ябЁдн'
1,'ж «д« Џ«гб  ћж«б янЁ ггяд «”гЏ «б—”«∆б «б’ж н… «бќ«’… »н'
1,'«д« г‘ —я »дў«г «бѕЁЏ «бг”»ё »ёѕ— «‘ —я »ќѕг… «б ћж«б'
1,'ггяд «Џ—Ё ‘ж ен… ќѕг…  ж√г ћж«бн'
1,'ЁЏб  ќѕг… «б«ќ»«— «бЏ«ћб… ж г‘ Џ«—Ё «бџне« »ёѕ— «Џ—Ё «бџне«'
1,'»ѕн «” Ё”— Џд «бќѕг«  «б —Ёнен… »ћж«б ж Ў—нё… «” ё»«бе« ж «б«жё«  «бн ггяд «” ё»бе« Ёне«'
1,'»ќ’ж’ ќѕг… «б—”«∆б «б’ж н… янЁ Ў—нё…  ЁЏнб е«н «бќѕг… ж ёѕн‘ » ябЁ'
1,'янЁ »ѕн «Ќ’б Џбм «Џѕ«ѕ«  ќѕг… «б«д —д '
1,'янЁ ггяд «‘ —я »ќѕг… «бгя«бг«  «бЁ«∆ … ж ёѕн‘ » ябЁдн е«н «бќѕг…'
1,'»ѕн «ЁЏб ќѕг… —дбн ж »ѕн «ЌЎ «џдн… ‘«нЁ «б»Ќ— ‘ж я»н— бЁн—ж“'
1,'‘ж «бЁ—ё »нд гя«бг… «б ћж«б ж «бгя«бг… «бѕжбн…'
1,'янЁ ггяд «”гЏ «б»—нѕ «б’ж н «Ћд«Ѕ Џгбн… «б ћж«б'
1,'»ѕн «” Ё”— «“« ќѕг… «б ћж«б ббЁ ж—… г б ќѕг… «б ћж«б ббѕЁЏ «бг”»ё'
1,'‘ж ен ќѕг… «б«ќ»«— «бЏ«ћб…'
1,'янЁ »∆ѕ— «‘ —я »«бќѕг«  «б —Ёнен…'
1,'янЁ »∆ѕ— «ЁЏб ќѕг… —дбн'
1,'янЁ »∆ѕ— «”гЏ «б»—нѕ «б’ж н ж «д« »«б ћж«б'
1,'янЁ »∆ѕ— «—”б ж «” ё»б гя«бг«  ж «д« »«б ћж«б'
1,'‘ж нЏдн «б—”«∆б «б’ж н…'
1,'янЁ «‘џб «б ћж«б бг« «”«Ё—'
1,'»∆ѕ—ж г‘ —ян «бЁ« ж—… ж «бѕЁЏ «бг”»ё «нЁЏбж ќѕг… «б ћж«б'
1,'янЁ »∆ѕ— «” ќѕг ќѕг… «—ћЏбн'
1,'янЁ »∆ѕ— «ћн» «Џѕ«ѕ«  «бќѕг…'
1,'янЁ »∆ѕ— «‘џб ќѕг… «б—”«∆б г Џѕѕ… «бж”«∆Ў'
1,'янЁ »∆ѕ— «‘ —я »ќѕг… «бгя«бг«  «бЁ«∆ … ж ‘ж ен Ё«нѕ е«'
1,'янЁ »ѕн « ’б Џбм Ќѕ« ж «д« »«б ћж«б'
1,'янЁ «—”б —”«б… д’н… «Ћд«Ѕ «б ћж«б'
1,'‘ж «бЁ—ё »«бгя«бг… бг« «яжд Џ«б ћж«б «ж ѕжбн'
1,'ггяд «Ёег «н‘ ен… ќѕг…  ж√г ћж«бн'
1,'»ѕн «”√б Џд ќѕг… «б«ќ»«— «бЏ«ћб… янЁ ггяд дЁЏбе« ж ёѕн‘ » ябЁдн »«б‘е—'
1,'«н‘ ен… «бќѕг«  «б —Ёнен… «ббн Џдѕяг ж янЁ ггяд д‘ —я Ёне«'
1,'янЁ ггяд «” ќѕг ќѕг… «—ћЏбн'
1,'янЁ ггяд «Ќ’б Џбм «Џѕ«ѕ«  «бќѕг« '
1,'янЁ ггяд «” ќѕг ќѕг… Ён ћж«б  »Џ бн ’ж—… Џд Ў—нё «б—”«∆б'
1,'Ён ќѕг… Ён ћж«б » ќбндн «Џ—Ё «бгя«бг«  «бЁ«∆ …'
1,'янЁ ггяд «ЁЏб ќѕг…  —‘нѕ «б«” еб«я ж «д« Џ«гб —жгндћ Џбм ‘»я… Ћ«дн…'
1,'ќѕг… «б ћж«б г жЁ—… бг‘ —ян «бѕЁЏ «бг”»ё ж «бЁ« ж—… ж ‘ж «бЁ—ё »нд« ег'
1,'»«ббе »ѕн «”√б »ѕн «Џ—Ё ‘ж ен ќѕг…  ж√г ћж«бн «ћн  «ЁЏбе« ж гЏ—Ё ‘'
1,'‘ж ен ќѕг… «б«ќ»«— «бЏ«ћб… ж √н жя«б… ≈Џб«гн… » ёѕге«'
1,'»ѕн «Џ—Ё янЁ »‘ —я »«бќѕг«  «б —Ёнен…'
1,'Ён ‘» ’«Ќ»н гёЎжЏ ёбн «—ћЏбн »«” ќѕ«г ќѕг… «—ћЏбн »” г‘ Џ«—Ё ‘ж ен е«н «бќѕг…'
1,'Ён д«” Ќяжбн «де » ёѕ—  —”б —”«б я ’ж  »ѕн «”√б ‘ж ен ќѕг… «б—”«∆б «б’ж н…'
1,'«џб»я  »Џ бн —”«б… янЁ «Џгб «Џѕ«ѕ«  «бќѕг« '
1,'янЁ »‘ —я »ќѕг… «б—”«∆б г Џѕѕ… «бж”«∆Ў'
1,'«не »ѕн «” Ё”— »” Џд ќѕг… «бгя«бг«  «бЁ«∆ … ‘ж ен'
1,'«”гЏ  «де Ён ќѕг… «”ге« ќѕг… —дбн »ѕн «” Ё”— Џде«'
1,' ‘нЁ »ѕн «Ќян гя«бг… «Ћд«Ѕ ќѕг… «б ћж«б'
1,'«д« »ѕн «д“б Џбм Ёб”Ўнд ЁянЁ »ѕн «ЁЏб ќѕг… «б ћж«б Џд ‘—я… ћж«б'
1,'»ѕн «—”б —”«б… «Ћд«Ѕ ќѕг… «б ћж«б'
1,'янЁ »ѕн «”гЏ «б»—нѕ «б’ж н «Ћд«Ѕ ќѕг… «б ћж«б'
1,'янЁ ггяд «бд«” н ’бж Џбн бг« √яжд гЁЏб «б ћж«б'
1,'ќѕг… «б ћж«б ен »” бг‘ —ян «бЁ« ж—… жб« яг«д «бѕЁЏ «бг”»ё'
1,'‘ж ен… ќѕг…  ж√г ћж«бн ж ‘ж ггяд «” Ёнѕ где«'
1,'янЁ ггяд «‘ —я »ќѕг… «б«ќ»«— «бЏ«ћб… ж янЁ ггяд «Ќ–Ёе« «–« »ѕн‘ ≈н«е«'
1,'‘ж Ён ќѕг«   —Ёнен… гжћжѕ… Џдѕяг'
1,'‘ж ен ќѕг… «—ћЏбн ж янЁ ггяд «не «ЁЏбе« жж ‘ж  ябЁ е«'
1,'янЁ »ёѕ— «ћн» дёЎ… «бж’жб бб—”«∆б г Џѕѕ… «бж”«∆Ў'
1,'янЁ »ёѕ— «ЁЏб ќѕг… «бгя«бг«  «бЁ«∆ … ж ‘ж  ябЁ е«'
1,'янЁ »ёѕ— «џн— «б«џдн… »ќѕг… —дбн'
1,'‘ж «бѕжб «бЁЏ«б… Ёне« ќѕг… «б ћж«б'
1,'янЁ ггяд «ж’б бб»—нѕ «б’ж н ќб«б «б ћж«б'
1,'»ёѕ—ж «бд«” » ’бж Џбн Џбм дЁ” «б—ёг ќб«б «б ћж«б'
1,'ќѕг… «б ћж«б » ‘ џб Џбм «бЁ« ж—… ж «бѕЁЏ «бг”»ё жб« » Ё—ё'
1,'»ѕн «”√б Џд ќѕг…  ж√г ћж«бн «–« Ён гћ«б'
1,'‘ж б«“г «”жн Џ‘«д «ЁЏб ќѕг… «б ћж«б Џдѕн'
1,'янЁ ггяд «»Џ  —”«∆б «Ћд«Ѕ «б ћж«б'
1,'Џбм «н дў«г »ёѕ— «ЁЏб «б ћж«б «бѕжбн'
1,'янЁ »ёѕ— «‘ —я »ќѕг… «б«ќ»«— «бЏ«ћб…'
1,'‘ж ен ќѕг… «б—”«∆б «б’ж н… «бн Џдѕяг'
1,'»ёѕ— «” Ё”— Џд ќѕг… «б—”«∆б г Џѕѕ… «бж”«∆Ў'
1,'янЁ ггяд «б«‘ —«я »ќѕг… «бгя«бг«  «бЁ«∆ …'
1,'янЁ ггяд «бд«” н ’бж Џбн бг« «яжд гЁЏб ќѕг… «б ћж«б'
1,'»ѕн «” Ё”— Џд янЁн… «б«‘ —«я »«бќѕг«  «б —Ёнен… «бг жЁ—… Џдѕяг'
1,'янЁ ггяд «” ќѕг ќѕг… «—ћЏбн'
1,'гд жнд »ёѕ— «Ќ’б Џбм «Џѕ«ѕ «бќѕг« '
1,'янЁ »ёѕ— «‘ —я »ќѕг… —дбн'
1,'‘ж ен ќѕг«  «б«” Џб«г Џд «б—’нѕ'
1,'‘ж ен ќЎж«  «б« ’«б «Ћд«Ѕ «б ћж«б'
1,'‘ж «бЁ—ё »нд гя«бг… «б ћж«б ж «бгя«бг… «бѕжбн…'
1,'Ён »—нѕ ’ж н бг« «яжд гЁЏб ќѕг… «б ћж«б'
1,'«не »ѕн «” Ё”— Џд ќѕг…  ж√г ћж«бн'
1,'‘ж нЏдн ќѕг… «б«ќ»«— «бЏ«ћб…'
1,'«не «н‘ ен «бќѕг«  «б —Ёнен… ж «ѕне » ябЁ »«б‘е—'
1,'«н‘ ен ќѕг… «—ћЏбн'
1,'янЁ »∆ѕ— «” Џгб ќѕг… «б—”«∆б «б’ж н…'
1,'янЁ »∆ѕ— «ж’б б«Џѕ«ѕ«  «бќѕг« '
1,'янЁ »∆ѕ— «” Џгб ќѕг… «б—”«∆б г Џѕѕ… «бж”«∆Ў'
1,'«не «н‘ ен ќѕг… «бгя«бг«  «бЁ«∆ …'
1,'янЁ »∆ѕ— «ЁЏб ќѕг… «б ћж«б Џбм ћж«бн «–« «д« ћ«н гд »—«'
1,'»∆ѕ— «»Џ  г”ћ «Ћд«Ѕ ќѕг… «б ћж«б'
1,'янЁ »∆ѕ— «”гЏ «б—”«б… «б’ж н… «Ћд«Ѕ ќѕг…  ћж«б'
1,'янЁ »∆ѕ— «Ќян гЏ «бд«” ж «” ∆»б гя«бг«  гдег «Ћд«Ѕ ќѕг… «б ћж«б'
1,'»∆ѕ— «” Џгб ћж«бн дЁ”е «Ћд«Ѕ ќѕг… «б ћж«б'
1,'«д« Ё« ж—… »∆ѕ— «” Џгб ќѕг…  ћж«б'
1,'«н‘ ен ќѕг…  ж√г ћж«бн'
1,'янЁ »ёѕ— «ЁЏб ќѕг… «б«ќ»«— «бЏ«ћб…'
1,'«н‘ «бќѕг«  «б —Ёнен… «бн » жЁ—же«'
1,'янЁ »ёѕ— «жѕн г”ћ «—ћЏбн'
1,'янЁ »ёѕ— «ЁЏб «бж”«∆Ў «бг Џѕѕ… Џће«“н'
1,'янЁ »ёѕ— «џн— «џдн… —дбн'
1,'янЁ »ёѕ— «”жн гя«бг«  ж «д« »—«'
1,'«не «д« ћн  ЏЁб”Ўнд ЁянЁ »ёѕ— «ЁЏб «б ћж«б'
1,'янЁ »ёѕ— «жѕн —”«∆б Џ«б ћж«б ж яг » ябЁдн'
1,'«н‘ «бЁ—ё »нд «бгя«бг«  ж «д« »—« «б»бѕ ж «бгя«бг«  «бѕжбн…'
1,'»ёѕ— «ЁЏб «б»—нѕ «б’ж н ж «д« Џ«б ћж«б'
1,'янЁ »ёѕ— «” ё»б ж «—”б гя«бг«  ж «д« »—« «б»бѕ'
1,'«д« ћж«бн Ё« ж—… »дЁЏ «” ќѕг «б ћж«б'
1,'«н‘ ен ќѕг…  Ќжнб «б—’нѕ ж » яжд гћ«дн…'
1,'г« ен ќѕг…  ж√г ћж«бн'
1,'‘ж ен ќѕг…  ж√г ћж«бн'
1,'‘ж ен ќѕг… «б«ќ»«— «бЏ«ћб…'
1,'янЁ ггяд «‘ —я »«бќѕг«  «б —Ёнен…'
1,'‘ж ен ќѕг… «—ћЏбн ж ‘ж Ё«нѕ е«'
1,'‘ж нЏдн «б—”«∆б «б’ж н…'
1,'янЁ «ћн» «б«Џѕ«ѕ«  «бќ«’… »«бќѕг« '
1,'‘ж нЏдн ќѕг… «б—”«∆б г Џѕѕ… «бж”«∆Ў'
1,'бж ж«Ќѕ —д Џбн ж г« яд  гжћжѕ янЁ »ёѕ— «ЁЏб дў«г «бгя«бг«  «бЁ«∆ …'
