@relation questionCategory
@attribute article string
@attribute Class  {"ќѕг« " , "Ёж« н—", "«ќ—м"}
@data
"еб —«Ќ н‘ џб ћж«бн »—« «б»бѕ бг« «ЁЏб «б ћж«б","ќѕг« "
"Џбм «н дў«г »ёѕ— «ЁЏб «б ћж«б «бѕжбн","ќѕг« "
"янЁ »ёѕ— «ЁЏб ќѕг…  ж√г ћж«бн","ќѕг« "
"‘ж Ён ќѕг«   —Ёнен… ж г”бн… Џдѕяг","ќѕг« "
"‘ж ен ќѕг… «—ћЏбн ‘ж Ё«нѕ е«","ќѕг« "
"‘ж ен ќѕг… «б—”«∆б «б’ж н…","ќѕг« "
"янЁ «“»Ў «б«Џѕ«ѕ«  Џбм ће«“н ж «ќ– яб «бќѕг« ","ќѕг« "
"‘ж нЏдн ќѕг… «б—”«∆б г Џѕѕ… «бж”«∆Ў","ќѕг« "
"бж ж«Ќѕ —д Џбн ж г« яд  гжћжѕ янЁ »ёѕ— «ЁЏб дў«г «бгя«бг«  «бЁ«∆ …","ќѕг« "
"‘ж ен ќѕг… —дбн","ќѕг« "
"янЁ —«Ќ «—д Џбм Ќѕ бг« «яжд г‘џб «б ћж«б","ќѕг« "
"‘ж б«“г «”жн Џ‘«д «ЁЏб ќѕг… «б ћж«б","ќѕг« "
"янЁ нгяд «»Џ  —”«∆б «Ћд«Ѕ «б ћж«б","ќѕг« "
"янЁ »ёѕ— «гн“ »нд «б ћж«б ж «б« ’«б «бѕжбн","ќѕг« "
"янЁ »ёѕ— «”гЏ «бгя«бг«  «б’ж н… «Ћд«Ѕ «б ћж«б","ќѕг« "
"янЁ ггяд «бд«” н ’бж Џбн бг« «яжд гЁЏб «б ћж«б","ќѕг« "
"еб —«Ќ н‘ џб ћж«бн »—« «б»бѕ бг« «ЁЏб «б ћж«б","ќѕг« "
"еб » ‘ џб ќѕг… «б ћж«б Џбм «бя—  ж «бЁ« ж—…","ќѕг« "
"янЁ »ёѕ— «ЁЏб ќѕг…  ж√г ћж«бн","ќѕг« "
"‘ж Ён ќѕг«   —Ёнен… ж г”бн… Џдѕяг","ќѕг« "
"‘ж ен ќѕг… «—ћЏбн ‘ж Ё«нѕ е«","ќѕг« "
"‘ж ен ќѕг… «б—”«∆б «б’ж н…","ќѕг« "
"янЁ «“»Ў «б«Џѕ«ѕ«  Џбм ће«“н ж «ќ– яб «бќѕг« ","ќѕг« "
"‘ж нЏдн ќѕг… «б—”«∆б г Џѕѕ… «бж”«∆Ў","ќѕг« "
"бж ж«Ќѕ —д Џбн ж г« яд  гжћжѕ янЁ »ёѕ— «ЁЏб дў«г «бгя«бг«  «бЁ«∆ …","ќѕг« "
"‘ж ен ќѕг… —дбн","ќѕг« "
"янЁ —«Ќ «—д Џбм Ќѕ бг« «яжд г‘џб «б ћж«б","ќѕг« "
"‘ж б«“г «”жн Џ‘«д «ЁЏб ќѕг… «б ћж«б","ќѕг« "
"янЁ нгяд «»Џ  —”«∆б «Ћд«Ѕ «б ћж«б","ќѕг« "
"янЁ »ёѕ— «гн“ »нд «б ћж«б ж «б« ’«б «бѕжбн","ќѕг« "
"янЁ »ёѕ— «”гЏ «бгя«бг«  «б’ж н… «Ћд«Ѕ «б ћж«б","ќѕг« "
"янЁ ггяд «бд«” н ’бж Џбн бг« «яжд гЁЏб «б ћж«б","ќѕг« "
"еб —«Ќ н‘ џб ћж«бн »—« «б»бѕ бг« «ЁЏб «б ћж«б","ќѕг« "
"еб » ‘ џб ќѕг… «б ћж«б Џбм «бя—  ж «бЁ« ж—…","ќѕг« "
"«н‘ ен ќѕг…  ж√г ћж«бн","ќѕг« "
"‘ж ен ќѕг… «б«ќ»«— «бЏ«ћб… ж янЁ ггяд «” Ёнѕ где«","ќѕг« "
"‘ж ен «бќѕг«  «б —Ёнен… «бн Џдѕяж","ќѕг« "
"‘ж ен ќѕг… «—ћЏбн","ќѕг« "
"«н‘ ен ќѕг… «б—”«∆б «б’ж н…","ќѕг« "
"янЁ »ёѕ— «“»Ў «Џѕ«ѕ«  «бќѕг«   »Џ н","ќѕг« "
"‘ж ен ќѕг«  г Џѕѕ… «бж”«∆Ў","ќѕг« "
"янЁ »ёѕ— «ЁЏб ќѕг… «бгя«бг«  «бЁ«∆ …","ќѕг« "
"‘ж ен ќѕг… —дбн ж янЁ »ёѕ— «‘ —я Ёне«","ќѕг« "
"янЁ »∆ѕ— «Ќян гя«бг«  «Ћд«Ѕ «б ћж«б","ќѕг« "
"янЁ »∆ѕ— «ЁЏб «б ћж«б ж «д« »Ёб”Ўнд","ќѕг« "
"янЁ »∆ѕ— «—”б —”«б… «Ћд«Ѕ «б ћж«б","ќѕг« "
"‘ж «бЁ—ё »нд гя«бг… «б ћж«б ж «бгя«бг… «бѕжбн…","ќѕг« "
"янЁ ггяд «ЁЏб «б»—нѕ «б’ж н «Ћд«Ѕ «б ћж«б","ќѕг« "
"янЁ »ёѕ— «” ё»б гя«бг«  ж « ’б Џбм «бд«” «Ћд«Ѕ «б ћж«б","ќѕг« "
"ќѕг… «б ћж«б ‘џ«б… Џбм «бЁ« ж—… ж «бя— ","ќѕг« "
"‘ж ен ќѕг…  ж√г ћж«бн","ќѕг« "
"янЁ »∆ѕ— «‘ —я »ќѕг… «б«ќ»«—","ќѕг« "
"‘ж Ён ќѕг«  г”бн… ж  —Ёнен… Џдѕяг","ќѕг« "
"‘ж ен ќѕг… «—ћЏбн нЏдн ‘ж Ё«нѕ е«","ќѕг« "
"‘ж ен ќѕг… «б—”«∆б «б’ж н…","ќѕг« "
"янЁ «“»Ў «б«Џѕ«ѕ«  Џбм ће«“н ж «ѕќб яб «бќѕг« ","ќѕг« "
"‘ж ен ќѕг… «б—”«∆б «бг Џѕѕ… «бж”«∆Ў","ќѕг« "
"ж«Ќѕ —д Џбн ж гяд ‘ гжћжѕ янЁ »∆ѕ— «‘џб дў«г «бгя«бг«  «бЁ«∆ …","ќѕг« "
"‘ж ен ќѕг… —дбн","ќѕг« "
"янЁ ггяд «—д ЏЌѕ« ж «д« г‘џб «б ћж«б","ќѕг« "
"янЁ ггяд «‘ џб «б ћж«б Џбм ће«“н бг« «”«Ё—","ќѕг« "
"еб »∆ѕ— «»Џ  —”«∆б ж «д« г‘џб «б ћж«б","ќѕг« "
"‘ж » ќ бЁ «бгя«бг«  «бѕжбн… Џд гя«бг«  «б ћж«б","ќѕг« "
"«–« Ќѕ »Џ бн гя«бг… ’ж н… еб »ёѕ— «”гЏе« «Ћд«Ѕ «б ћж«б","ќѕг« "
"янЁ ггяд « ’б Џбм «бд«” ж н ’бж Џбн бг« √яжд »—« «б»бѕ ж гЁЏб «б ћж«б","ќѕг« "
"—«Ќ н‘ џб ћж«бн »—« «б»бѕ бг« «ЁЏб «б ћж«б","ќѕг« "
"Џбм √дж дў«г »‘ џб «б ћж«б Џбм «бя—  жб« Џбм «бЁ« ж—…","ќѕг« "
"‘ж ен ќѕг…  ж√г ћж«бн","ќѕг« "
"‘ж Ён Џдѕяг ќѕг«  г”бн… «ж  —Ёнен…","ќѕг« "
"‘ж ен ќѕг… «—ћЏбн ж янЁ ггяд «” Ёнѕ где«","ќѕг« "
"‘ж ен ќѕг… «—ћЏбн ж янЁ ггяд «” Ёнѕ где«","ќѕг« "
"‘ж ен ќѕг… «б—”«∆б «б’ж н…","ќѕг« "
"«Ќянбн янЁ ггяд «ћн» «Џѕ«ѕ«  «бќѕг« ","ќѕг« "
"»ѕн «Џ—Ё Џд ќѕг… «б—”«∆б «бќѕг«  «бг Џѕѕ…","ќѕг« "
"«‘—Ќбн Џд ќѕг… «бгя«бг«  «бЁ«∆ …","ќѕг« "
"‘ж ен ќѕг… —дбн","ќѕг« "
"‘ж ен ќЎж«  «б« ’«б «Ћд«Ѕ «б ћж«б","ќѕг« "
"‘ж б«“г «Џгб Џ‘«д «ЁЏб ќѕг… «б ћж«б","ќѕг« "
"»∆ѕ— «»Џ  —”«∆б «Ћд«Ѕ  ЁЏнбн бќѕг… «б ћж«б","ќѕг« "
"‘ж «бЁ—ё »нд «бгя«бг… «бѕжбн… ж гя«бг…  ћж«б","ќѕг« "
"Ён »—нѕ ’ж н »яжд гЁЏб бг« √яжд гЁЏб ќѕг… «б ћж«б","ќѕг« "
"янЁ ггяд «ћ—н гя«бг«  «Ћд«Ѕ «б ћж«б ж янЁ ггяд Ќѕ н ’б Џбн","ќѕг« "
"еб —«Ќ н‘ џб ћж«бн »—« «б»бѕ бг« «ЁЏб ќѕг… «б ћж«б","ќѕг« "
"Џбм √н дў«г »ёѕ— «ЁЏб ќѕг… «б ћж«б «бѕжбн","ќѕг« "
"» ёѕ—  ”«Џѕдн « Џ—Ё Џбм ќѕг…  ж√г ћж«бн","ќѕг« "
"”гЏ  Џд ќѕг… «б«ќ»«— «бЏ«ћб… Џдѕяг ггяд  ”«Џѕдн « Џ—Ё ‘жн Џбне«","ќѕг« "
"»ѕн «” ќѕг ќѕг… «—ћЏбн Џдѕяг Џ‘«д « ’б »’«Ќ»н ггяд  ”«Џѕдн","ќѕг« "
"Ён «гя«дн… «—”б —”«∆б ’ж н… »«” ќѕ«г ћж«б","ќѕг« "
"”гЏ  Џд «Џѕ«ѕ«  «бќѕг«  янЁ ггяд «ж’бег","ќѕг« "
"»ѕн «ЁЏб ќѕг… «бгя«бг«  «бЁ«∆ …","ќѕг« "
"ггяд  ”«Џѕдн « Џ—Ё Џбм ќѕг… —дбн б«дн Ќ«»» «‘ —я Ёне«","ќѕг« "
"«д« ћ«н гд «б”Џжѕн… ж Ќ«»» «” Ё”— янЁ ггяд «ЁЏб ќѕг… «б ћж«б Џдѕяг","ќѕг« "
"янЁ ггяд «—”б —”«б… ж «д« » ћжб ж яг » ябЁдн","ќѕг« "
"ж «д« Џ«гб  ћж«б янЁ ггяд «”гЏ «б—”«∆б «б’ж н… «бќ«’… »н","ќѕг« "
"«д« г‘ —я »дў«г «бѕЁЏ «бг”»ё »ёѕ— «‘ —я »ќѕг… «б ћж«б","ќѕг« "
"ггяд «Џ—Ё ‘ж ен… ќѕг…  ж√г ћж«бн","ќѕг« "
"ЁЏб  ќѕг… «б«ќ»«— «бЏ«ћб… ж г‘ Џ«—Ё «бџне« »ёѕ— «Џ—Ё «бџне«","ќѕг« "
"»ѕн «” Ё”— Џд «бќѕг«  «б —Ёнен… »ћж«б ж Ў—нё… «” ё»«бе« ж «б«жё«  «бн ггяд «” ё»бе« Ёне«","ќѕг« "
"»ќ’ж’ ќѕг… «б—”«∆б «б’ж н… янЁ Ў—нё…  ЁЏнб е«н «бќѕг… ж ёѕн‘ » ябЁ","ќѕг« "
"янЁ »ѕн «Ќ’б Џбм «Џѕ«ѕ«  ќѕг… «б«д —д ","ќѕг« "
"янЁ ггяд «‘ —я »ќѕг… «бгя«бг«  «бЁ«∆ … ж ёѕн‘ » ябЁдн е«н «бќѕг…","ќѕг« "
"»ѕн «ЁЏб ќѕг… —дбн ж »ѕн «ЌЎ «џдн… ‘«нЁ «б»Ќ— ‘ж я»н— бЁн—ж“","ќѕг« "
"‘ж «бЁ—ё »нд гя«бг… «б ћж«б ж «бгя«бг… «бѕжбн…","ќѕг« "
"янЁ ггяд «”гЏ «б»—нѕ «б’ж н «Ћд«Ѕ Џгбн… «б ћж«б","ќѕг« "
"»ѕн «” Ё”— «“« ќѕг… «б ћж«б ббЁ ж—… г б ќѕг… «б ћж«б ббѕЁЏ «бг”»ё","ќѕг« "
"‘ж ен ќѕг… «б«ќ»«— «бЏ«ћб…","ќѕг« "
"янЁ »∆ѕ— «‘ —я »«бќѕг«  «б —Ёнен…","ќѕг« "
"янЁ »∆ѕ— «ЁЏб ќѕг… —дбн","ќѕг« "
"янЁ »∆ѕ— «”гЏ «б»—нѕ «б’ж н ж «д« »«б ћж«б","ќѕг« "
"янЁ »∆ѕ— «—”б ж «” ё»б гя«бг«  ж «д« »«б ћж«б","ќѕг« "
"‘ж нЏдн «б—”«∆б «б’ж н…","ќѕг« "
"янЁ «‘џб «б ћж«б бг« «”«Ё—","ќѕг« "
"»∆ѕ—ж г‘ —ян «бЁ« ж—… ж «бѕЁЏ «бг”»ё «нЁЏбж ќѕг… «б ћж«б","ќѕг« "
"янЁ »∆ѕ— «” ќѕг ќѕг… «—ћЏбн","ќѕг« "
"янЁ »∆ѕ— «ћн» «Џѕ«ѕ«  «бќѕг…","ќѕг« "
"янЁ »∆ѕ— «‘џб ќѕг… «б—”«∆б г Џѕѕ… «бж”«∆Ў","ќѕг« "
"янЁ »∆ѕ— «‘ —я »ќѕг… «бгя«бг«  «бЁ«∆ … ж ‘ж ен Ё«нѕ е«","ќѕг« "
"янЁ »ѕн « ’б Џбм Ќѕ« ж «д« »«б ћж«б","ќѕг« "
"янЁ «—”б —”«б… д’н… «Ћд«Ѕ «б ћж«б","ќѕг« "
"‘ж «бЁ—ё »«бгя«бг… бг« «яжд Џ«б ћж«б «ж ѕжбн","ќѕг« "
"ггяд «Ёег «н‘ ен… ќѕг…  ж√г ћж«бн","ќѕг« "
"»ѕн «”√б Џд ќѕг… «б«ќ»«— «бЏ«ћб… янЁ ггяд дЁЏбе« ж ёѕн‘ » ябЁдн »«б‘е—","ќѕг« "
"«н‘ ен… «бќѕг«  «б —Ёнен… «ббн Џдѕяг ж янЁ ггяд д‘ —я Ёне«","ќѕг« "
"янЁ ггяд «” ќѕг ќѕг… «—ћЏбн","ќѕг« "
"янЁ ггяд «Ќ’б Џбм «Џѕ«ѕ«  «бќѕг« ","ќѕг« "
"янЁ ггяд «” ќѕг ќѕг… Ён ћж«б  »Џ бн ’ж—… Џд Ў—нё «б—”«∆б","ќѕг« "
"Ён ќѕг… Ён ћж«б » ќбндн «Џ—Ё «бгя«бг«  «бЁ«∆ …","ќѕг« "
"янЁ ггяд «ЁЏб ќѕг…  —‘нѕ «б«” еб«я ж «д« Џ«гб —жгндћ Џбм ‘»я… Ћ«дн…","ќѕг« "
"ќѕг… «б ћж«б г жЁ—… бг‘ —ян «бѕЁЏ «бг”»ё ж «бЁ« ж—… ж ‘ж «бЁ—ё »нд« ег","ќѕг« "
"»«ббе »ѕн «”√б »ѕн «Џ—Ё ‘ж ен ќѕг…  ж√г ћж«бн «ћн  «ЁЏбе« ж гЏ—Ё ‘","ќѕг« "
"‘ж ен ќѕг… «б«ќ»«— «бЏ«ћб… ж √н жя«б… ≈Џб«гн… » ёѕге«","ќѕг« "
"»ѕн «Џ—Ё янЁ »‘ —я »«бќѕг«  «б —Ёнен…","ќѕг« "
"Ён ‘» ’«Ќ»н гёЎжЏ ёбн «—ћЏбн »«” ќѕ«г ќѕг… «—ћЏбн »” г‘ Џ«—Ё ‘ж ен е«н «бќѕг…","ќѕг« "
"Ён д«” Ќяжбн «де » ёѕ—  —”б —”«б я ’ж  »ѕн «”√б ‘ж ен ќѕг… «б—”«∆б «б’ж н…","ќѕг« "
"«џб»я  »Џ бн —”«б… янЁ «Џгб «Џѕ«ѕ«  «бќѕг« ","ќѕг« "
"янЁ »‘ —я »ќѕг… «б—”«∆б г Џѕѕ… «бж”«∆Ў","ќѕг« "
"«не »ѕн «” Ё”— »” Џд ќѕг… «бгя«бг«  «бЁ«∆ … ‘ж ен","ќѕг« "
"«”гЏ  «де Ён ќѕг… «”ге« ќѕг… —дбн »ѕн «” Ё”— Џде«","ќѕг« "
" ‘нЁ »ѕн «Ќян гя«бг… «Ћд«Ѕ ќѕг… «б ћж«б","ќѕг« "
"«д« »ѕн «д“б Џбм Ёб”Ўнд ЁянЁ »ѕн «ЁЏб ќѕг… «б ћж«б Џд ‘—я… ћж«б","ќѕг« "
"»ѕн «—”б —”«б… «Ћд«Ѕ ќѕг… «б ћж«б","ќѕг« "
"янЁ »ѕн «”гЏ «б»—нѕ «б’ж н «Ћд«Ѕ ќѕг… «б ћж«б","ќѕг« "
"янЁ ггяд «бд«” н ’бж Џбн бг« √яжд гЁЏб «б ћж«б","ќѕг« "
"ќѕг… «б ћж«б ен »” бг‘ —ян «бЁ« ж—… жб« яг«д «бѕЁЏ «бг”»ё","ќѕг« "
"‘ж ен… ќѕг…  ж√г ћж«бн ж ‘ж ггяд «” Ёнѕ где«","ќѕг« "
"янЁ ггяд «‘ —я »ќѕг… «б«ќ»«— «бЏ«ћб… ж янЁ ггяд «Ќ–Ёе« «–« »ѕн‘ ≈н«е«","ќѕг« "
"‘ж Ён ќѕг«   —Ёнен… гжћжѕ… Џдѕяг","ќѕг« "
"‘ж ен ќѕг… «—ћЏбн ж янЁ ггяд «не «ЁЏбе« жж ‘ж  ябЁ е«","ќѕг« "
"янЁ »ёѕ— «ћн» дёЎ… «бж’жб бб—”«∆б г Џѕѕ… «бж”«∆Ў","ќѕг« "
"янЁ »ёѕ— «ЁЏб ќѕг… «бгя«бг«  «бЁ«∆ … ж ‘ж  ябЁ е«","ќѕг« "
"янЁ »ёѕ— «џн— «б«џдн… »ќѕг… —дбн","ќѕг« "
"‘ж «бѕжб «бЁЏ«б… Ёне« ќѕг… «б ћж«б","ќѕг« "
"янЁ ггяд «ж’б бб»—нѕ «б’ж н ќб«б «б ћж«б","ќѕг« "
"»ёѕ—ж «бд«” » ’бж Џбн Џбм дЁ” «б—ёг ќб«б «б ћж«б","ќѕг« "
"ќѕг… «б ћж«б » ‘ џб Џбм «бЁ« ж—… ж «бѕЁЏ «бг”»ё жб« » Ё—ё","ќѕг« "
"»ѕн «”√б Џд ќѕг…  ж√г ћж«бн «–« Ён гћ«б","ќѕг« "
"‘ж б«“г «”жн Џ‘«д «ЁЏб ќѕг… «б ћж«б Џдѕн","ќѕг« "
"янЁ ггяд «»Џ  —”«∆б «Ћд«Ѕ «б ћж«б","ќѕг« "
"Џбм «н дў«г »ёѕ— «ЁЏб «б ћж«б «бѕжбн","ќѕг« "
"янЁ »ёѕ— «‘ —я »ќѕг… «б«ќ»«— «бЏ«ћб…","ќѕг« "
"‘ж ен ќѕг… «б—”«∆б «б’ж н… «бн Џдѕяг","ќѕг« "
"»ёѕ— «” Ё”— Џд ќѕг… «б—”«∆б г Џѕѕ… «бж”«∆Ў","ќѕг« "
"янЁ ггяд «б«‘ —«я »ќѕг… «бгя«бг«  «бЁ«∆ …","ќѕг« "
"янЁ ггяд «бд«” н ’бж Џбн бг« «яжд гЁЏб ќѕг… «б ћж«б","ќѕг« "
"»ѕн «” Ё”— Џд янЁн… «б«‘ —«я »«бќѕг«  «б —Ёнен… «бг жЁ—… Џдѕяг","ќѕг« "
"янЁ ггяд «” ќѕг ќѕг… «—ћЏбн","ќѕг« "
"гд жнд »ёѕ— «Ќ’б Џбм «Џѕ«ѕ «бќѕг« ","ќѕг« "
"янЁ »ёѕ— «‘ —я »ќѕг… —дбн","ќѕг« "
"‘ж ен ќѕг«  «б«” Џб«г Џд «б—’нѕ","ќѕг« "
"‘ж ен ќЎж«  «б« ’«б «Ћд«Ѕ «б ћж«б","ќѕг« "
"‘ж «бЁ—ё »нд гя«бг… «б ћж«б ж «бгя«бг… «бѕжбн…","ќѕг« "
"Ён »—нѕ ’ж н бг« «яжд гЁЏб ќѕг… «б ћж«б","ќѕг« "
"«не »ѕн «” Ё”— Џд ќѕг…  ж√г ћж«бн","ќѕг« "
"‘ж нЏдн ќѕг… «б«ќ»«— «бЏ«ћб…","ќѕг« "
"«не «н‘ ен «бќѕг«  «б —Ёнен… ж «ѕне » ябЁ »«б‘е—","ќѕг« "
"«н‘ ен ќѕг… «—ћЏбн","ќѕг« "
"янЁ »∆ѕ— «” Џгб ќѕг… «б—”«∆б «б’ж н…","ќѕг« "
"янЁ »∆ѕ— «ж’б б«Џѕ«ѕ«  «бќѕг« ","ќѕг« "
"янЁ »∆ѕ— «” Џгб ќѕг… «б—”«∆б г Џѕѕ… «бж”«∆Ў","ќѕг« "
